Participant_ID,start_400,end_400,start_100,end_100,start_diff,end_diff,movement
Participant_0,400.0,350.0,100.0,200.0,300.0,150.0,-150.0
Participant_1,400.0,425.0,100.0,100.0,300.0,325.0,25.0
Participant_2,400.0,400.0,100.0,75.0,300.0,325.0,25.0
Participant_3,400.0,400.0,100.0,25.0,300.0,375.0,75.0
Participant_4,400.0,400.0,100.0,225.0,300.0,175.0,-125.0
Participant_5,400.0,400.0,100.0,125.0,300.0,275.0,-25.0
Participant_6,400.0,450.0,100.0,100.0,300.0,350.0,50.0
Participant_7,400.0,350.0,100.0,150.0,300.0,200.0,-100.0
Participant_8,400.0,375.0,100.0,50.0,300.0,325.0,25.0
Participant_9,400.0,300.0,100.0,50.0,300.0,250.0,-50.0
Participant_10,400.0,325.0,100.0,125.0,300.0,200.0,-100.0
Participant_11,400.0,375.0,100.0,150.0,300.0,225.0,-75.0
Participant_12,400.0,400.0,100.0,100.0,300.0,300.0,0.0
Participant_13,400.0,300.0,100.0,150.0,300.0,150.0,-150.0
Participant_14,400.0,425.0,100.0,0.0,300.0,425.0,125.0
Participant_15,400.0,400.0,100.0,125.0,300.0,275.0,-25.0
Participant_16,400.0,325.0,100.0,175.0,300.0,150.0,-150.0
Participant_17,400.0,500.0,100.0,50.0,300.0,450.0,150.0
Participant_18,400.0,400.0,100.0,175.0,300.0,225.0,-75.0
Participant_19,400.0,325.0,100.0,75.0,300.0,250.0,-50.0
Participant_20,400.0,375.0,100.0,100.0,300.0,275.0,-25.0
Participant_21,400.0,350.0,100.0,75.0,300.0,275.0,-25.0
Participant_22,400.0,400.0,100.0,100.0,300.0,300.0,0.0
Participant_23,400.0,425.0,100.0,75.0,300.0,350.0,50.0
Participant_24,400.0,425.0,100.0,150.0,300.0,275.0,-25.0
Participant_25,400.0,375.0,100.0,100.0,300.0,275.0,-25.0
Participant_26,400.0,350.0,100.0,75.0,300.0,275.0,-25.0
Participant_27,400.0,450.0,100.0,100.0,300.0,350.0,50.0
Participant_28,400.0,375.0,100.0,125.0,300.0,250.0,-50.0
Participant_29,400.0,350.0,100.0,25.0,300.0,325.0,25.0
Participant_30,400.0,375.0,100.0,150.0,300.0,225.0,-75.0
