HDT_mean_confidence	HDT_overall_accuracy	Participant_ID	AUC
71.5	85.0	4	0.5441176470588236
36.0	47.5	5	0.6353383458646616
47.0	57.5	6	0.530690537084399
57.25	47.5	7	0.6140350877192983
65.0	72.5	8	0.7225705329153604
60.38	60.0	11	0.6263020833333334
17.68	52.5	19	0.39598997493734334
63.25	75.0	24	0.5733333333333334
80.5	45.0	28	0.4886363636363637
39.5	65.0	30	0.47527472527472525
57.25	60.0	36	0.65625
77.88	45.0	37	0.523989898989899
58.75	65.0	40	0.5947802197802197
84.75	60.0	42	0.52734375
69.92	57.5	44	0.768542199488491
33.25	55.0	47	0.5126262626262627
39.25	55.0	50	0.6919191919191919
72.83	65.0	51	0.4587912087912087
45.13	56.41	53	0.5427807486631017
44.38	42.5	60	0.49744245524296676
55.75	57.5	63	0.5639386189258312
48.58	45.0	69	0.28535353535353536
12.12	45.0	73	0.3699494949494949
40.11	47.83	77	0.5123106060606061
49.86	70.27	78	0.5716783216783217
82.62	75.0	79	0.7533333333333333
52.75	45.0	82	0.5416666666666667
61.92	62.5	86	0.36
32.92	65.0	91	0.6414835164835164
38.28	51.72	97	0.4547619047619048
31.5	70.0	103	0.543154761904762
76.38	60.0	107	0.65625
66.0	77.5	114	0.7777777777777778
41.62	60.0	119	0.4700520833333333
71.0	52.5	124	0.5037593984962406
47.5	47.5	126	0.47493734335839605
42.25	50.0	129	0.50625
45.25	47.5	130	0.5413533834586466
64.75	52.5	131	0.5238095238095237
