PSS_Value,Accuracy,start_400,end_400,start_100,end_100,start_diff,end_diff,movement
200.0,0.9,400.0,198.0,100.0,200.5,300.0,-2.5,-302.5
250.0,0.8,400.0,248.0,100.0,250.5,300.0,-2.5,-302.5
250.0,0.9,400.0,249.5,100.0,250.5,300.0,-1.0,-301.0
200.0,1.0,400.0,200.0,100.0,200.0,300.0,0.0,-300.0
150.0,1.0,400.0,150.0,100.0,150.0,300.0,0.0,-300.0
250.0,1.0,400.0,250.0,100.0,250.0,300.0,0.0,-300.0
300.0,1.0,400.0,300.0,100.0,300.0,300.0,0.0,-300.0
100.0,1.0,400.0,100.0,100.0,100.0,300.0,0.0,-300.0
400.0,1.0,400.0,400.0,100.0,400.0,300.0,0.0,-300.0
350.0,1.0,400.0,350.0,100.0,350.0,300.0,0.0,-300.0
150.0,0.9,400.0,151.0,100.0,150.5,300.0,0.5,-299.5
350.0,0.9,400.0,350.0,100.0,346.5,300.0,3.5,-296.5
300.0,0.9,400.0,302.5,100.0,298.5,300.0,4.0,-296.0
200.0,0.8,400.0,207.0,100.0,200.5,300.0,6.5,-293.5
300.0,0.8,400.0,299.0,100.0,291.0,300.0,8.0,-292.0
100.0,0.9,400.0,115.5,100.0,98.0,300.0,17.5,-282.5
400.0,0.9,400.0,399.0,100.0,380.0,300.0,19.0,-281.0
200.0,0.7,400.0,219.0,100.0,198.0,300.0,21.0,-279.0
150.0,0.8,400.0,173.5,100.0,148.5,300.0,25.0,-275.0
350.0,0.8,400.0,350.0,100.0,322.5,300.0,27.5,-272.5
250.0,0.7,400.0,265.5,100.0,235.5,300.0,30.0,-270.0
300.0,0.7,400.0,302.5,100.0,270.0,300.0,32.5,-267.5
150.0,0.7,400.0,199.5,100.0,152.0,300.0,47.5,-252.5
350.0,0.7,400.0,353.5,100.0,299.0,300.0,54.5,-245.5
100.0,0.8,400.0,153.5,100.0,97.5,300.0,56.0,-244.0
250.0,0.6,400.0,287.0,100.0,226.0,300.0,61.0,-239.0
400.0,0.8,400.0,404.0,100.0,341.0,300.0,63.0,-237.0
200.0,0.6,400.0,263.0,100.0,188.5,300.0,74.5,-225.5
300.0,0.6,400.0,304.0,100.0,229.0,300.0,75.0,-225.0
400.0,0.7,400.0,396.5,100.0,300.5,300.0,96.0,-204.0
100.0,0.7,400.0,210.5,100.0,97.5,300.0,113.0,-187.0
150.0,0.6,400.0,264.5,100.0,146.0,300.0,118.5,-181.5
250.0,0.5,400.0,313.0,100.0,190.5,300.0,122.5,-177.5
350.0,0.6,400.0,351.5,100.0,227.5,300.0,124.0,-176.0
200.0,0.5,400.0,301.5,100.0,162.0,300.0,139.5,-160.5
100.0,0.6,400.0,245.5,100.0,98.5,300.0,147.0,-153.0
400.0,0.6,400.0,402.0,100.0,241.0,300.0,161.0,-139.0
350.0,0.5,400.0,362.0,100.0,198.5,300.0,163.5,-136.5
300.0,0.5,400.0,349.5,100.0,171.5,300.0,178.0,-122.0
150.0,0.5,400.0,323.0,100.0,140.0,300.0,183.0,-117.0
100.0,0.5,400.0,312.5,100.0,105.5,300.0,207.0,-93.0
400.0,0.5,400.0,401.5,100.0,191.5,300.0,210.0,-90.0
300.0,0.4,400.0,371.5,100.0,143.5,300.0,228.0,-72.0
250.0,0.4,400.0,374.5,100.0,139.5,300.0,235.0,-65.0
200.0,0.4,400.0,368.5,100.0,130.5,300.0,238.0,-62.0
350.0,0.4,400.0,380.0,100.0,135.0,300.0,245.0,-55.0
150.0,0.4,400.0,365.5,100.0,118.5,300.0,247.0,-53.0
400.0,0.4,400.0,385.0,100.0,135.0,300.0,250.0,-50.0
100.0,0.4,400.0,362.5,100.0,106.5,300.0,256.0,-44.0
400.0,0.3,400.0,395.5,100.0,94.5,300.0,301.0,1.0
200.0,0.3,400.0,402.0,100.0,93.5,300.0,308.5,8.5
100.0,0.3,400.0,419.5,100.0,104.0,300.0,315.5,15.5
150.0,0.3,400.0,423.5,100.0,105.5,300.0,318.0,18.0
350.0,0.3,400.0,404.0,100.0,84.0,300.0,320.0,20.0
100.0,0.2,400.0,456.0,100.0,127.0,300.0,329.0,29.0
300.0,0.3,400.0,409.0,100.0,75.0,300.0,334.0,34.0
250.0,0.3,400.0,417.5,100.0,83.0,300.0,334.5,34.5
400.0,0.2,400.0,400.5,100.0,47.5,300.0,353.0,53.0
400.0,0.1,400.0,401.5,100.0,11.5,300.0,390.0,90.0
100.0,0.1,400.0,532.0,100.0,133.5,300.0,398.5,98.5
350.0,0.2,400.0,446.0,100.0,47.0,300.0,399.0,99.0
400.0,0.0,400.0,401.0,100.0,1.5,300.0,399.5,99.5
150.0,0.2,400.0,473.0,100.0,55.5,300.0,417.5,117.5
200.0,0.2,400.0,465.0,100.0,42.0,300.0,423.0,123.0
250.0,0.2,400.0,471.5,100.0,43.5,300.0,428.0,128.0
300.0,0.2,400.0,474.5,100.0,46.0,300.0,428.5,128.5
100.0,0.0,400.0,565.0,100.0,129.0,300.0,436.0,136.0
350.0,0.1,400.0,514.5,100.0,18.0,300.0,496.5,196.5
150.0,0.1,400.0,523.0,100.0,23.5,300.0,499.5,199.5
250.0,0.1,400.0,528.5,100.0,20.5,300.0,508.0,208.0
200.0,0.1,400.0,527.5,100.0,14.0,300.0,513.5,213.5
300.0,0.1,400.0,533.0,100.0,17.0,300.0,516.0,216.0
200.0,0.0,400.0,558.5,100.0,0.0,300.0,558.5,258.5
