,Staircase_name,Before_Response,Same_Response,After_Response,participant_id
0,100_1,6,9.0,0.0,1
1,100_2,7,8.0,0.0,1
2,400_1,7,2.0,6.0,1
3,400_2,8,1.0,6.0,1
4,100_1,5,6.0,4.0,2
5,100_2,5,1.0,9.0,2
6,400_1,8,6.0,1.0,2
7,400_2,6,6.0,3.0,2
8,100_1,4,3.0,8.0,3
9,100_2,5,6.0,4.0,3
10,400_1,4,7.0,4.0,3
11,400_2,10,3.0,2.0,3
12,100_1,4,8.0,3.0,4
13,100_2,7,5.0,3.0,4
14,400_1,5,6.0,4.0,4
15,400_2,5,7.0,3.0,4
16,100_1,9,2.0,4.0,5
17,100_2,5,5.0,5.0,5
18,400_1,7,4.0,4.0,5
19,400_2,6,5.0,4.0,5
20,100_1,2,7.0,6.0,6
21,100_2,6,5.0,4.0,6
22,400_1,7,4.0,4.0,6
23,400_2,12,1.0,2.0,6
24,100_1,9,,6.0,7
25,100_2,6,,9.0,7
26,400_1,5,,10.0,7
27,400_2,7,,8.0,7
28,100_1,9,6.0,0.0,8
29,100_2,9,6.0,0.0,8
30,400_1,9,0.0,6.0,8
31,400_2,9,0.0,6.0,8
32,100_1,6,7.0,2.0,9
33,100_2,3,3.0,9.0,9
34,400_1,5,7.0,3.0,9
35,400_2,5,7.0,3.0,9
36,100_1,6,8.0,1.0,10
37,100_2,7,7.0,1.0,10
38,400_1,6,2.0,7.0,10
39,400_2,7,1.0,7.0,10
40,100_1,3,8.0,4.0,11
41,100_2,5,2.0,8.0,11
42,400_1,4,5.0,6.0,11
43,400_2,4,5.0,6.0,11
44,100_1,3,5.0,7.0,12
45,100_2,9,4.0,2.0,12
46,400_1,2,5.0,8.0,12
47,400_2,3,4.0,8.0,12
48,100_1,8,0.0,7.0,13
49,100_2,8,0.0,7.0,13
50,400_1,7,8.0,0.0,13
51,400_2,8,7.0,0.0,13
52,100_1,2,7.0,6.0,14
53,100_2,10,4.0,1.0,14
54,400_1,1,2.0,12.0,14
55,400_2,3,4.0,8.0,14
56,100_1,5,7.0,3.0,15
57,100_2,3,5.0,7.0,15
58,400_1,5,6.0,4.0,15
59,400_2,5,4.0,6.0,15
60,100_1,4,5.0,6.0,16
61,100_2,2,6.0,7.0,16
62,400_1,4,7.0,4.0,16
63,400_2,6,6.0,3.0,16
64,100_1,8,0.0,7.0,17
65,100_2,8,0.0,7.0,17
66,400_1,8,7.0,0.0,17
67,400_2,6,9.0,0.0,17
68,100_1,4,1.0,10.0,18
69,100_2,7,1.0,7.0,18
70,400_1,10,5.0,0.0,18
71,400_2,4,6.0,5.0,18
72,100_1,8,1.0,6.0,19
73,100_2,6,0.0,9.0,19
74,400_1,3,10.0,2.0,19
75,400_2,4,1.0,10.0,19
76,100_1,9,0.0,6.0,20
77,100_2,3,5.0,7.0,20
78,400_1,4,8.0,3.0,20
79,400_2,7,4.0,4.0,20
80,100_1,3,7.0,5.0,21
81,100_2,4,8.0,3.0,21
82,400_1,2,6.0,7.0,21
83,400_2,6,3.0,6.0,21
84,100_1,4,7.0,4.0,22
85,100_2,4,7.0,4.0,22
86,400_1,6,3.0,6.0,22
87,400_2,6,4.0,5.0,22
88,100_1,6,4.0,5.0,23
89,100_2,10,3.0,2.0,23
90,400_1,4,6.0,5.0,23
91,400_2,4,4.0,7.0,23
92,100_1,6,9.0,0.0,24
93,100_2,3,9.0,3.0,24
94,400_1,10,0.0,5.0,24
95,400_2,9,1.0,5.0,24
96,100_1,2,4.0,9.0,25
97,100_2,4,5.0,6.0,25
98,400_1,5,6.0,4.0,25
99,400_2,6,7.0,2.0,25
100,100_1,6,1.0,8.0,26
101,100_2,3,7.0,5.0,26
102,400_1,5,4.0,6.0,26
103,400_2,5,5.0,5.0,26
104,100_1,10,1.0,4.0,27
105,100_2,4,5.0,6.0,27
106,400_1,2,5.0,8.0,27
107,400_2,8,6.0,1.0,27
108,100_1,7,1.0,7.0,28
109,100_2,5,2.0,8.0,28
110,400_1,9,5.0,1.0,28
111,400_2,8,5.0,2.0,28
112,100_1,10,0.0,5.0,29
113,100_2,7,0.0,8.0,29
114,400_1,6,9.0,0.0,29
115,400_2,8,7.0,0.0,29
116,100_1,3,7.0,5.0,30
117,100_2,4,9.0,2.0,30
118,400_1,5,2.0,8.0,30
119,400_2,3,3.0,9.0,30
120,100_1,7,8.0,0.0,31
121,100_2,7,8.0,0.0,31
122,400_1,11,0.0,4.0,31
123,400_2,11,0.0,4.0,31
124,100_1,5,10.0,0.0,32
125,100_2,5,10.0,0.0,32
126,400_1,13,0.0,2.0,32
127,400_2,13,0.0,2.0,32
128,100_1,5,6.0,4.0,33
129,100_2,4,5.0,6.0,33
130,400_1,1,3.0,11.0,33
131,400_2,3,6.0,6.0,33
132,100_1,3,4.0,8.0,34
133,100_2,2,5.0,8.0,34
134,400_1,5,1.0,9.0,34
135,400_2,6,3.0,6.0,34
136,100_1,9,0.0,6.0,35
137,100_2,5,0.0,10.0,35
138,400_1,10,5.0,0.0,35
139,400_2,9,6.0,0.0,35
140,100_1,6,6.0,3.0,36
141,100_2,2,9.0,4.0,36
142,400_1,6,4.0,5.0,36
143,400_2,9,4.0,2.0,36
144,100_1,11,4.0,0.0,37
145,100_2,10,4.0,1.0,37
146,400_1,7,0.0,8.0,37
147,400_2,7,0.0,8.0,37
148,100_1,9,6.0,0.0,38
149,100_2,9,6.0,0.0,38
150,400_1,8,1.0,6.0,38
151,400_2,9,0.0,6.0,38
152,100_1,3,10.0,2.0,39
153,100_2,3,6.0,6.0,39
154,400_1,5,6.0,4.0,39
155,400_2,14,0.0,1.0,39
156,100_1,6,2.0,7.0,40
157,100_2,3,2.0,10.0,40
158,400_1,2,6.0,7.0,40
159,400_2,11,1.0,3.0,40
160,100_1,6,6.0,3.0,41
161,100_2,2,10.0,3.0,41
162,400_1,6,1.0,8.0,41
163,400_2,6,2.0,7.0,41
164,100_1,8,0.0,7.0,42
165,100_2,6,0.0,9.0,42
166,400_1,7,8.0,0.0,42
167,400_2,8,7.0,0.0,42
168,100_1,3,3.0,9.0,43
169,100_2,7,1.0,7.0,43
170,400_1,9,4.0,2.0,43
171,400_2,7,7.0,1.0,43
172,100_1,4,2.0,9.0,44
173,100_2,8,5.0,2.0,44
174,400_1,6,8.0,1.0,44
175,400_2,9,2.0,4.0,44
176,100_1,4,8.0,3.0,45
177,100_2,3,6.0,6.0,45
178,400_1,6,4.0,5.0,45
179,400_2,4,4.0,7.0,45
180,100_1,3,12.0,0.0,46
181,100_2,2,12.0,1.0,46
182,400_1,8,4.0,3.0,46
183,400_2,9,3.0,3.0,46
184,100_1,10,1.0,4.0,47
185,100_2,9,3.0,3.0,47
186,400_1,9,5.0,1.0,47
187,400_2,7,8.0,0.0,47
188,100_1,4,6.0,5.0,48
189,100_2,8,4.0,3.0,48
190,400_1,4,2.0,9.0,48
191,400_2,4,3.0,8.0,48
192,100_1,11,4.0,0.0,49
193,100_2,10,4.0,1.0,49
194,400_1,5,2.0,8.0,49
195,400_2,7,0.0,8.0,49
196,100_1,7,6.0,2.0,50
197,100_2,4,6.0,5.0,50
198,400_1,7,2.0,6.0,50
199,400_2,4,5.0,6.0,50
200,100_1,1,10.0,4.0,51
201,100_2,4,5.0,6.0,51
202,400_1,5,3.0,7.0,51
203,400_2,8,2.0,5.0,51
204,100_1,4,3.0,8.0,52
205,100_2,4,0.0,11.0,52
206,400_1,9,4.0,2.0,52
207,400_2,7,8.0,0.0,52
208,100_1,3,3.0,9.0,53
209,100_2,8,1.0,6.0,53
210,400_1,7,7.0,1.0,53
211,400_2,5,8.0,2.0,53
212,100_1,6,0.0,9.0,54
213,100_2,10,1.0,4.0,54
214,400_1,4,8.0,3.0,54
215,400_2,4,8.0,3.0,54
216,100_1,2,10.0,3.0,55
217,100_2,3,10.0,2.0,55
218,400_1,12,0.0,3.0,55
219,400_2,9,2.0,4.0,55
220,100_1,15,,0.0,56
221,100_2,15,,0.0,56
222,400_1,3,,12.0,56
