Participant ID	060
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	500	same time	-1	80
Training	2	350	before	0	40
Training	3	300	same time	-1	90
400_1	1	400.0	same time	-1	80
400_1	2	400.0	before	0	30
400_1	3	400.0	after	1	20
400_1	4	400.0	before	0	50
400_1	5	400.0	before	0	20
400_1	6	450.0	before	0	60
400_1	7	450.0	same time	-1	50
400_1	8	450.0	after	1	40
400_1	9	450.0	same time	-1	40
400_1	10	450.0	same time	-1	60
400_1	11	450.0	before	0	40
400_1	12	450.0	after	1	60
400_1	13	450.0	same time	-1	20
400_1	14	450.0	before	0	20
400_1	15	450.0	before	0	40
100_1	1	100.0	same time	-1	70
100_1	2	100.0	after	1	45
100_1	3	100.0	before	0	15
100_1	4	100.0	same time	-1	40
100_1	5	100.0	same time	-1	40
100_1	6	100.0	same time	-1	20
100_1	7	100.0	same time	-1	70
100_1	8	100.0	before	0	80
100_1	9	150.0	same time	-1	65
100_1	10	150.0	before	0	60
100_1	11	150.0	before	0	70
100_1	12	200.0	same time	-1	50
100_1	13	200.0	before	0	60
100_1	14	200.0	after	1	20
100_1	15	200.0	same time	-1	50
400_2	1	400.0	before	0	70
400_2	2	400.0	same time	-1	20
400_2	3	400.0	after	1	55
400_2	4	400.0	before	0	70
400_2	5	400.0	before	0	80
400_2	6	450.0	after	1	35
400_2	7	450.0	same time	-1	20
400_2	8	450.0	before	0	80
400_2	9	450.0	after	1	20
400_2	10	450.0	after	1	10
400_2	11	400.0	before	0	60
400_2	12	400.0	same time	-1	40
400_2	13	400.0	before	0	50
400_2	14	450.0	same time	-1	40
400_2	15	450.0	before	0	90
100_2	1	100.0	same time	-1	80
100_2	2	100.0	before	0	40
100_2	3	100.0	before	0	20
100_2	4	150.0	before	0	40
100_2	5	150.0	after	1	20
100_2	6	150.0	same time	-1	40
100_2	7	150.0	same time	-1	40
100_2	8	150.0	before	0	40
100_2	9	150.0	before	0	70
100_2	10	200.0	same time	-1	65
100_2	11	200.0	same time	-1	55
100_2	12	200.0	before	0	65
100_2	13	200.0	before	0	70
100_2	14	250.0	after	1	40
100_2	15	250.0	same time	-1	60
Post_task_question	TaskGeneral	34	NA	NA	NA
Post_task_question	Difficulty	81	NA	NA	NA
Post_task_question	Breathless	65	NA	NA	NA
